method,n_clusters,silhouette,calinski_harabasz,davies_bouldin,eps,min_samples,noise_ratio,n_components
DBSCAN,2.0,0.7951275891058358,347.7706280829131,0.165979576965676,0.4,5.0,0.0,
DBSCAN,2.0,0.7951275891058358,347.7706280829131,0.165979576965676,0.4,7.0,0.0,
DBSCAN,2.0,0.7935477622025771,374.45503234980123,0.17309902750806416,0.3,5.0,0.0,
DBSCAN,2.0,0.7935477622025771,374.45503234980123,0.17309902750806416,0.3,3.0,0.0,
DBSCAN,3.0,0.7832688585109405,187.56435743816053,0.3844091697867933,0.3,7.0,0.00021295625878444568,
DBSCAN,4.0,0.7731798484586627,125.05651074540786,0.36329993872181815,0.2,3.0,4.259125175688913e-05,
DBSCAN,4.0,0.7560695173558387,172.2325377061726,0.9212297269781333,0.2,5.0,0.00029813876229822393,
DBSCAN,3.0,0.7539358358035082,537.2904994445939,0.7340785552953749,0.2,7.0,0.0008092337833808936,
KMeans,2.0,0.7467210714722237,59568.3846831402,0.49344388867838906,,,,
Agglomerative,2.0,0.7461547635681692,59541.140241951,0.4955004680502456,,,,
DBSCAN,2.0,0.7445009013310724,1559.1773070022548,0.29585135851306904,0.1,7.0,0.003151752630009796,
Agglomerative,3.0,0.7104497577022691,58023.127239429676,0.45726965087839727,,,,
DBSCAN,12.0,0.6985254021035081,143.4636888359109,3.202263171150788,0.1,3.0,0.0008518250351377827,
DBSCAN,5.0,0.6975976350827482,391.1021293381538,3.2238169667925476,0.1,5.0,0.002172153839601346,
KMeans,3.0,0.6952917089324542,77781.23249352396,0.5133182839481721,,,,
KMeans,4.0,0.655287353547832,97954.06859937317,0.518300889020869,,,,
Agglomerative,4.0,0.6407290412326901,92147.01191258752,0.5186328559726576,,,,
GaussianMixture,,0.5571068155830435,24575.379904965976,0.6832441957230119,,,,2.0
GaussianMixture,,0.4402979321350903,40557.49461248102,0.6181611655538196,,,,4.0
GaussianMixture,,0.4260902311735048,25441.754805406395,0.651831542023876,,,,3.0
